tc_id,username,new_password,first_name,last_name,email,expected_results
TC_003_045,user_20260421_2201,Abc!2026_securePwd_01,AOlwen,Huang,user_20260421_2201@gmail.com,Changes saved
TC_003_046,User#123,Abc!2026_securePwd_01,Olwen,Huang,tc046_user_2026@gmail.com,Only lowercase letters allowed
TC_003_047,user#047,Abc!2026_securePwd_01,Olwen,Huang,invalid-email-format,"The username can only contain alphanumeric lowercase characters (letters and numbers), underscore (_), hyphen (-), period (.) or at symbol (@).; Invalid email address"
TC_003_048,user#048,Abc!2026_securePwd_01,Olwen,,tc048_user_2026@gmail.com,Missing last name
TC_003_049,user#049,Abc!2026_securePwd_01,Olwen,4SDLrRTxnnDfAUWzPeN7LW12g13lrAsbafXujyIwhLgNzfajtRucyo7ZGtxNtbbF4IeKEQ77x6iOYNHUOi0e9wWq52hgZ8nHVcGE9NkI9Guk3RI9peP4lfkoz9oRJLu7,invalid-email,"The username can only contain alphanumeric lowercase characters (letters and numbers), underscore (_), hyphen (-), period (.) or at symbol (@).; Invalid email address"
TC_003_050,user#050,Abc!2026_securePwd_01,4SDLrRTxnnDfAUWzPeN7LW12g13lrAsbafXujyIwhLgNzfajtRucyo7ZGtxNtbbF4IeKEQ77x6iOYNHUOi0e9wWq52hgZ8nHVcGE9NkI9Guk3RI9peP4lfkoz9oRJLu7,Huang,tc050_user_2026@gmail.com,"The username can only contain alphanumeric lowercase characters (letters and numbers), underscore (_), hyphen (-), period (.) or at symbol (@)."
TC_003_051,user#051,Abc!2026_securePwd_01,,Huang,invalid-email-format,Missing given name
TC_003_052,user#052,Abc!2026_securePwd_01,,,tc052_user_2026@gmail.com,Missing given name; Missing last name
TC_003_053,user#053,Abc!2026_securePwd_01,,,invalid-email,Missing given name; Missing last name
TC_003_054,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,,Van,Huynh,van@gmail.com,Required
TC_003_055,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3fa,Van,Huynh,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,Maximum of 128 characters
